inputs,combination,time_taken
Projects num: 100,ewt,0.25159645080566406
Projects num: 100,improved_mt,0.9036834239959717
Projects num: 100,old_mt,1.6200265884399414
Projects num: 100,ewtc,0.24797368049621582
Projects num: 100,improved_mtc,1.0603022575378418
Projects num: 100,old_mtc,2.2964391708374023
Projects num: 200,ewt,1.9411673545837402
Projects num: 200,improved_mt,7.613239049911499
Projects num: 200,old_mt,15.210233449935913
Projects num: 200,ewtc,2.321526527404785
Projects num: 200,improved_mtc,7.972962379455566
Projects num: 200,old_mtc,17.000591039657593
Projects num: 300,ewt,10.230245351791382
Projects num: 300,improved_mt,26.812480926513672
