inputs,combination,Voter Satisfaction | Anger Ratio | Average Cost
Projects num: 300,improved_mt,"(0.7260777777777777, 0.0, 409.23853211009174)"
Projects num: 300,ewt,"(0.7292333333333335, 0.0, 410.58715596330273)"
Projects num: 300,old_mt,"(0.7260777777777777, 0.0, 409.23853211009174)"
Projects num: 300,ewtc,"(0.7292333333333335, 0.0, 410.58715596330273)"
Projects num: 300,improved_mtc,"(0.7266111111111117, 0.0, 409.89861751152074)"
Projects num: 300,old_mtc,"(0.7266111111111117, 0.0, 409.89861751152074)"
