inputs,combination,Voter Satisfaction | Anger Ratio | Average Cost
Projects num: 100,improved_mt,"(0.6888666666666668, 0.0, 423.7826086956522)"
Projects num: 100,ewt,"(0.6936666666666667, 0.0, 426.4347826086956)"
Projects num: 100,old_mt,"(0.6888666666666668, 0.0, 423.7826086956522)"
Projects num: 100,ewtc,"(0.6936666666666667, 0.0, 426.4347826086956)"
Projects num: 100,improved_mtc,"(0.6935333333333332, 0.0, 426.60869565217394)"
Projects num: 100,old_mtc,"(0.6935333333333332, 0.0, 426.60869565217394)"
