donors,projects,combination,ewt
"[{'Project_0': 32, 'Project_1': 24, 'Project_2': 33, 'Project_3': 34, 'Project_4': 26, 'Project_5': 28, 'Project_6': 28, 'Project_7': 36, 'Project_8': 25, 'Project_9': 34}, {'Project_0': 39, 'Project_1': 19, 'Project_2': 36, 'Project_3': 27, 'Project_4': 31, 'Project_5': 28, 'Project_6': 27, 'Project_7': 25, 'Project_8': 32, 'Project_9': 36}, {'Project_0': 30, 'Project_1': 25, 'Project_2': 33, 'Project_3': 30, 'Project_4': 33, 'Project_5': 25, 'Project_6': 38, 'Project_7': 21, 'Project_8': 35, 'Project_9': 30}, {'Project_0': 27, 'Project_1': 35, 'Project_2': 30, 'Project_3': 23, 'Project_4': 25, 'Project_5': 38, 'Project_6': 26, 'Project_7': 34, 'Project_8': 40, 'Project_9': 22}, {'Project_0': 26, 'Project_1': 27, 'Project_2': 23, 'Project_3': 31, 'Project_4': 34, 'Project_5': 28, 'Project_6': 32, 'Project_7': 38, 'Project_8': 35, 'Project_9': 26}, {'Project_0': 30, 'Project_1': 24, 'Project_2': 31, 'Project_3': 35, 'Project_4': 32, 'Project_5': 35, 'Project_6': 32, 'Project_7': 23, 'Project_8': 29, 'Project_9': 29}, {'Project_0': 32, 'Project_1': 29, 'Project_2': 24, 'Project_3': 26, 'Project_4': 21, 'Project_5': 34, 'Project_6': 26, 'Project_7': 38, 'Project_8': 36, 'Project_9': 34}, {'Project_0': 35, 'Project_1': 20, 'Project_2': 36, 'Project_3': 21, 'Project_4': 27, 'Project_5': 35, 'Project_6': 29, 'Project_7': 26, 'Project_8': 35, 'Project_9': 36}, {'Project_0': 29, 'Project_1': 35, 'Project_2': 27, 'Project_3': 38, 'Project_4': 25, 'Project_5': 30, 'Project_6': 26, 'Project_7': 28, 'Project_8': 35, 'Project_9': 27}, {'Project_0': 29, 'Project_1': 35, 'Project_2': 29, 'Project_3': 27, 'Project_4': 40, 'Project_5': 25, 'Project_6': 22, 'Project_7': 25, 'Project_8': 43, 'Project_9': 25}]","Instance with budget limit 0 and 10 projects:
	c(Project_0) = 506
	c(Project_1) = 123
	c(Project_2) = 824
	c(Project_3) = 836
	c(Project_4) = 577
	c(Project_5) = 538
	c(Project_6) = 950
	c(Project_7) = 498
	c(Project_8) = 652
	c(Project_9) = 233",ewt,"Instance with budget limit 0 and 6 projects:
	c(Project_1) = 123
	c(Project_9) = 233
	c(Project_0) = 506
	c(Project_7) = 498
	c(Project_5) = 538
	c(Project_8) = 652"
"[{'Project_0': 32, 'Project_1': 24, 'Project_2': 33, 'Project_3': 34, 'Project_4': 26, 'Project_5': 28, 'Project_6': 28, 'Project_7': 36, 'Project_8': 25, 'Project_9': 34}, {'Project_0': 39, 'Project_1': 19, 'Project_2': 36, 'Project_3': 27, 'Project_4': 31, 'Project_5': 28, 'Project_6': 27, 'Project_7': 25, 'Project_8': 32, 'Project_9': 36}, {'Project_0': 30, 'Project_1': 25, 'Project_2': 33, 'Project_3': 30, 'Project_4': 33, 'Project_5': 25, 'Project_6': 38, 'Project_7': 21, 'Project_8': 35, 'Project_9': 30}, {'Project_0': 27, 'Project_1': 35, 'Project_2': 30, 'Project_3': 23, 'Project_4': 25, 'Project_5': 38, 'Project_6': 26, 'Project_7': 34, 'Project_8': 40, 'Project_9': 22}, {'Project_0': 26, 'Project_1': 27, 'Project_2': 23, 'Project_3': 31, 'Project_4': 34, 'Project_5': 28, 'Project_6': 32, 'Project_7': 38, 'Project_8': 35, 'Project_9': 26}, {'Project_0': 30, 'Project_1': 24, 'Project_2': 31, 'Project_3': 35, 'Project_4': 32, 'Project_5': 35, 'Project_6': 32, 'Project_7': 23, 'Project_8': 29, 'Project_9': 29}, {'Project_0': 32, 'Project_1': 29, 'Project_2': 24, 'Project_3': 26, 'Project_4': 21, 'Project_5': 34, 'Project_6': 26, 'Project_7': 38, 'Project_8': 36, 'Project_9': 34}, {'Project_0': 35, 'Project_1': 20, 'Project_2': 36, 'Project_3': 21, 'Project_4': 27, 'Project_5': 35, 'Project_6': 29, 'Project_7': 26, 'Project_8': 35, 'Project_9': 36}, {'Project_0': 29, 'Project_1': 35, 'Project_2': 27, 'Project_3': 38, 'Project_4': 25, 'Project_5': 30, 'Project_6': 26, 'Project_7': 28, 'Project_8': 35, 'Project_9': 27}, {'Project_0': 29, 'Project_1': 35, 'Project_2': 29, 'Project_3': 27, 'Project_4': 40, 'Project_5': 25, 'Project_6': 22, 'Project_7': 25, 'Project_8': 43, 'Project_9': 25}]","Instance with budget limit 0 and 10 projects:
	c(Project_0) = 506
	c(Project_1) = 123
	c(Project_2) = 824
	c(Project_3) = 836
	c(Project_4) = 577
	c(Project_5) = 538
	c(Project_6) = 950
	c(Project_7) = 498
	c(Project_8) = 652
	c(Project_9) = 233",ewtc,
