donors,projects,combination,ewt
"[{'Project_0': 39, 'Project_1': 31, 'Project_2': 29, 'Project_3': 32, 'Project_4': 23, 'Project_5': 29, 'Project_6': 32, 'Project_7': 29, 'Project_8': 29, 'Project_9': 27}, {'Project_0': 25, 'Project_1': 29, 'Project_2': 25, 'Project_3': 29, 'Project_4': 37, 'Project_5': 40, 'Project_6': 26, 'Project_7': 34, 'Project_8': 33, 'Project_9': 22}, {'Project_0': 28, 'Project_1': 34, 'Project_2': 34, 'Project_3': 31, 'Project_4': 37, 'Project_5': 19, 'Project_6': 28, 'Project_7': 36, 'Project_8': 25, 'Project_9': 28}, {'Project_0': 32, 'Project_1': 36, 'Project_2': 28, 'Project_3': 27, 'Project_4': 20, 'Project_5': 34, 'Project_6': 33, 'Project_7': 34, 'Project_8': 32, 'Project_9': 24}, {'Project_0': 34, 'Project_1': 37, 'Project_2': 28, 'Project_3': 25, 'Project_4': 43, 'Project_5': 26, 'Project_6': 34, 'Project_7': 24, 'Project_8': 24, 'Project_9': 25}, {'Project_0': 32, 'Project_1': 24, 'Project_2': 38, 'Project_3': 27, 'Project_4': 31, 'Project_5': 31, 'Project_6': 25, 'Project_7': 33, 'Project_8': 27, 'Project_9': 32}, {'Project_0': 20, 'Project_1': 32, 'Project_2': 33, 'Project_3': 28, 'Project_4': 31, 'Project_5': 35, 'Project_6': 26, 'Project_7': 31, 'Project_8': 25, 'Project_9': 39}, {'Project_0': 30, 'Project_1': 27, 'Project_2': 30, 'Project_3': 35, 'Project_4': 24, 'Project_5': 25, 'Project_6': 27, 'Project_7': 32, 'Project_8': 33, 'Project_9': 37}, {'Project_0': 28, 'Project_1': 30, 'Project_2': 28, 'Project_3': 24, 'Project_4': 29, 'Project_5': 34, 'Project_6': 32, 'Project_7': 27, 'Project_8': 32, 'Project_9': 36}, {'Project_0': 34, 'Project_1': 26, 'Project_2': 34, 'Project_3': 35, 'Project_4': 28, 'Project_5': 29, 'Project_6': 29, 'Project_7': 31, 'Project_8': 29, 'Project_9': 25}]","Instance with budget limit 0 and 10 projects:
	c(Project_0) = 375
	c(Project_1) = 375
	c(Project_2) = 891
	c(Project_3) = 134
	c(Project_4) = 916
	c(Project_5) = 672
	c(Project_6) = 432
	c(Project_7) = 779
	c(Project_8) = 571
	c(Project_9) = 759",ewt,"Instance with budget limit 0 and 6 projects:
	c(Project_3) = 134
	c(Project_1) = 375
	c(Project_0) = 375
	c(Project_6) = 432
	c(Project_8) = 571
	c(Project_5) = 672"
"[{'Project_0': 39, 'Project_1': 31, 'Project_2': 29, 'Project_3': 32, 'Project_4': 23, 'Project_5': 29, 'Project_6': 32, 'Project_7': 29, 'Project_8': 29, 'Project_9': 27}, {'Project_0': 25, 'Project_1': 29, 'Project_2': 25, 'Project_3': 29, 'Project_4': 37, 'Project_5': 40, 'Project_6': 26, 'Project_7': 34, 'Project_8': 33, 'Project_9': 22}, {'Project_0': 28, 'Project_1': 34, 'Project_2': 34, 'Project_3': 31, 'Project_4': 37, 'Project_5': 19, 'Project_6': 28, 'Project_7': 36, 'Project_8': 25, 'Project_9': 28}, {'Project_0': 32, 'Project_1': 36, 'Project_2': 28, 'Project_3': 27, 'Project_4': 20, 'Project_5': 34, 'Project_6': 33, 'Project_7': 34, 'Project_8': 32, 'Project_9': 24}, {'Project_0': 34, 'Project_1': 37, 'Project_2': 28, 'Project_3': 25, 'Project_4': 43, 'Project_5': 26, 'Project_6': 34, 'Project_7': 24, 'Project_8': 24, 'Project_9': 25}, {'Project_0': 32, 'Project_1': 24, 'Project_2': 38, 'Project_3': 27, 'Project_4': 31, 'Project_5': 31, 'Project_6': 25, 'Project_7': 33, 'Project_8': 27, 'Project_9': 32}, {'Project_0': 20, 'Project_1': 32, 'Project_2': 33, 'Project_3': 28, 'Project_4': 31, 'Project_5': 35, 'Project_6': 26, 'Project_7': 31, 'Project_8': 25, 'Project_9': 39}, {'Project_0': 30, 'Project_1': 27, 'Project_2': 30, 'Project_3': 35, 'Project_4': 24, 'Project_5': 25, 'Project_6': 27, 'Project_7': 32, 'Project_8': 33, 'Project_9': 37}, {'Project_0': 28, 'Project_1': 30, 'Project_2': 28, 'Project_3': 24, 'Project_4': 29, 'Project_5': 34, 'Project_6': 32, 'Project_7': 27, 'Project_8': 32, 'Project_9': 36}, {'Project_0': 34, 'Project_1': 26, 'Project_2': 34, 'Project_3': 35, 'Project_4': 28, 'Project_5': 29, 'Project_6': 29, 'Project_7': 31, 'Project_8': 29, 'Project_9': 25}]","Instance with budget limit 0 and 10 projects:
	c(Project_0) = 375
	c(Project_1) = 375
	c(Project_2) = 891
	c(Project_3) = 134
	c(Project_4) = 916
	c(Project_5) = 672
	c(Project_6) = 432
	c(Project_7) = 779
	c(Project_8) = 571
	c(Project_9) = 759",ewtc,
