inputs,combination,time_taken
Projects num: 100,ewt,0.2629985809326172
Projects num: 100,improved_mt,0.9700253009796143
Projects num: 100,old_mt,2.139662027359009
Projects num: 100,ewtc,0.25800037384033203
Projects num: 100,improved_mtc,1.031407356262207
Projects num: 100,old_mtc,2.6917552947998047
Projects num: 200,ewt,2.789968967437744
Projects num: 200,improved_mt,10.232447147369385
Projects num: 200,old_mt,18.001627922058105
Projects num: 200,ewtc,2.3576083183288574
Projects num: 200,improved_mtc,10.449565410614014
Projects num: 200,old_mtc,21.591687202453613
Projects num: 300,ewt,9.253169298171997
Projects num: 300,improved_mt,28.915161609649658
