donors,projects,combination,ewt
"[{'Project_0': 35, 'Project_1': 32, 'Project_2': 28, 'Project_3': 32, 'Project_4': 21, 'Project_5': 33, 'Project_6': 31, 'Project_7': 24, 'Project_8': 36, 'Project_9': 28}, {'Project_0': 26, 'Project_1': 28, 'Project_2': 28, 'Project_3': 44, 'Project_4': 31, 'Project_5': 23, 'Project_6': 24, 'Project_7': 22, 'Project_8': 39, 'Project_9': 35}, {'Project_0': 26, 'Project_1': 31, 'Project_2': 25, 'Project_3': 35, 'Project_4': 32, 'Project_5': 26, 'Project_6': 29, 'Project_7': 43, 'Project_8': 27, 'Project_9': 26}, {'Project_0': 38, 'Project_1': 34, 'Project_2': 19, 'Project_3': 32, 'Project_4': 24, 'Project_5': 40, 'Project_6': 30, 'Project_7': 35, 'Project_8': 22, 'Project_9': 26}, {'Project_0': 22, 'Project_1': 34, 'Project_2': 27, 'Project_3': 31, 'Project_4': 22, 'Project_5': 45, 'Project_6': 18, 'Project_7': 32, 'Project_8': 35, 'Project_9': 34}, {'Project_0': 31, 'Project_1': 19, 'Project_2': 26, 'Project_3': 30, 'Project_4': 31, 'Project_5': 29, 'Project_6': 33, 'Project_7': 37, 'Project_8': 34, 'Project_9': 30}, {'Project_0': 30, 'Project_1': 31, 'Project_2': 28, 'Project_3': 27, 'Project_4': 33, 'Project_5': 33, 'Project_6': 30, 'Project_7': 32, 'Project_8': 27, 'Project_9': 29}, {'Project_0': 32, 'Project_1': 27, 'Project_2': 23, 'Project_3': 31, 'Project_4': 25, 'Project_5': 26, 'Project_6': 35, 'Project_7': 40, 'Project_8': 33, 'Project_9': 28}, {'Project_0': 17, 'Project_1': 30, 'Project_2': 38, 'Project_3': 32, 'Project_4': 26, 'Project_5': 37, 'Project_6': 27, 'Project_7': 33, 'Project_8': 32, 'Project_9': 28}, {'Project_0': 28, 'Project_1': 35, 'Project_2': 36, 'Project_3': 28, 'Project_4': 29, 'Project_5': 31, 'Project_6': 21, 'Project_7': 25, 'Project_8': 33, 'Project_9': 34}]","Instance with budget limit 0 and 10 projects:
	c(Project_0) = 106
	c(Project_1) = 135
	c(Project_2) = 579
	c(Project_3) = 961
	c(Project_4) = 318
	c(Project_5) = 990
	c(Project_6) = 570
	c(Project_7) = 469
	c(Project_8) = 677
	c(Project_9) = 933",ewt,"Instance with budget limit 0 and 7 projects:
	c(Project_0) = 106
	c(Project_1) = 135
	c(Project_4) = 318
	c(Project_7) = 469
	c(Project_6) = 570
	c(Project_2) = 579
	c(Project_8) = 677"
"[{'Project_0': 35, 'Project_1': 32, 'Project_2': 28, 'Project_3': 32, 'Project_4': 21, 'Project_5': 33, 'Project_6': 31, 'Project_7': 24, 'Project_8': 36, 'Project_9': 28}, {'Project_0': 26, 'Project_1': 28, 'Project_2': 28, 'Project_3': 44, 'Project_4': 31, 'Project_5': 23, 'Project_6': 24, 'Project_7': 22, 'Project_8': 39, 'Project_9': 35}, {'Project_0': 26, 'Project_1': 31, 'Project_2': 25, 'Project_3': 35, 'Project_4': 32, 'Project_5': 26, 'Project_6': 29, 'Project_7': 43, 'Project_8': 27, 'Project_9': 26}, {'Project_0': 38, 'Project_1': 34, 'Project_2': 19, 'Project_3': 32, 'Project_4': 24, 'Project_5': 40, 'Project_6': 30, 'Project_7': 35, 'Project_8': 22, 'Project_9': 26}, {'Project_0': 22, 'Project_1': 34, 'Project_2': 27, 'Project_3': 31, 'Project_4': 22, 'Project_5': 45, 'Project_6': 18, 'Project_7': 32, 'Project_8': 35, 'Project_9': 34}, {'Project_0': 31, 'Project_1': 19, 'Project_2': 26, 'Project_3': 30, 'Project_4': 31, 'Project_5': 29, 'Project_6': 33, 'Project_7': 37, 'Project_8': 34, 'Project_9': 30}, {'Project_0': 30, 'Project_1': 31, 'Project_2': 28, 'Project_3': 27, 'Project_4': 33, 'Project_5': 33, 'Project_6': 30, 'Project_7': 32, 'Project_8': 27, 'Project_9': 29}, {'Project_0': 32, 'Project_1': 27, 'Project_2': 23, 'Project_3': 31, 'Project_4': 25, 'Project_5': 26, 'Project_6': 35, 'Project_7': 40, 'Project_8': 33, 'Project_9': 28}, {'Project_0': 17, 'Project_1': 30, 'Project_2': 38, 'Project_3': 32, 'Project_4': 26, 'Project_5': 37, 'Project_6': 27, 'Project_7': 33, 'Project_8': 32, 'Project_9': 28}, {'Project_0': 28, 'Project_1': 35, 'Project_2': 36, 'Project_3': 28, 'Project_4': 29, 'Project_5': 31, 'Project_6': 21, 'Project_7': 25, 'Project_8': 33, 'Project_9': 34}]","Instance with budget limit 0 and 10 projects:
	c(Project_0) = 106
	c(Project_1) = 135
	c(Project_2) = 579
	c(Project_3) = 961
	c(Project_4) = 318
	c(Project_5) = 990
	c(Project_6) = 570
	c(Project_7) = 469
	c(Project_8) = 677
	c(Project_9) = 933",ewtc,
