inputs,combination,num of donors,time_taken
Projects num: 100,ewt,100,0.2777249813079834
Projects num: 100,improved_mt,100,1.1271343231201172
Projects num: 100,old_mt,100,2.3349602222442627
Projects num: 100,ewtc,100,0.27831292152404785
Projects num: 100,improved_mtc,100,1.069868803024292
Projects num: 100,old_mtc,100,2.4034881591796875
Projects num: 200,ewt,100,1.0301706790924072
Projects num: 200,improved_mt,100,4.533899307250977
Projects num: 200,old_mt,100,6.83494758605957
Projects num: 200,ewtc,100,1.0594544410705566
Projects num: 200,improved_mtc,100,5.120355129241943
Projects num: 200,old_mtc,100,8.427606582641602
Projects num: 300,ewt,100,2.419896364212036
Projects num: 300,improved_mt,100,9.728682518005371
Projects num: 300,old_mt,100,14.742162466049194
Projects num: 300,ewtc,100,2.750579595565796
Projects num: 300,improved_mtc,100,9.879804849624634
Projects num: 300,old_mtc,100,13.738471508026123
Projects num: 400,ewt,100,5.009039640426636
Projects num: 400,improved_mt,100,21.014018535614014
Projects num: 400,old_mt,100,19.300999402999878
Projects num: 400,ewtc,100,3.6908950805664062
Projects num: 400,improved_mtc,100,17.5255389213562
Projects num: 400,old_mtc,100,17.124138116836548
