inputs,combination,num of donors,time_taken
500,ewt,50,3.1393353939056396
500,improved_mt,50,9.079398393630981
500,old_mt,50,9.118117332458496
500,ewtc,50,3.110260248184204
500,improved_mtc,50,8.229110717773438
500,old_mtc,50,7.188626289367676
600,ewt,50,3.7436113357543945
600,improved_mt,50,9.245564460754395
600,old_mt,50,8.563542604446411
600,ewtc,50,4.504464149475098
600,improved_mtc,50,10.415226221084595
600,old_mtc,50,8.885305166244507
700,ewt,50,6.674459218978882
700,improved_mt,50,14.325294494628906
700,old_mt,50,15.456965684890747
700,ewtc,50,6.665600538253784
700,improved_mtc,50,12.35824465751648
700,old_mtc,50,11.80406641960144
800,ewt,50,8.546897888183594
800,improved_mt,50,14.451192378997803
800,old_mt,50,12.976502180099487
800,ewtc,50,8.607390642166138
800,improved_mtc,50,13.902774333953857
800,old_mtc,50,13.515722036361694
900,ewt,50,11.464676856994629
900,improved_mt,50,17.084362506866455
900,old_mt,50,15.271007299423218
900,ewtc,50,11.270812749862671
900,improved_mtc,50,17.080644607543945
900,old_mtc,50,18.84576439857483
