inputs,combination,num of donors,time_taken
Projects num: 100,ewt,200,0.7225341796875
Projects num: 100,improved_mt,200,0.731757402420044
Projects num: 100,old_mt,200,0.7270047664642334
Projects num: 100,ewtc,200,0.6807131767272949
Projects num: 100,improved_mtc,200,0.6742863655090332
Projects num: 100,old_mtc,200,0.687596321105957
Projects num: 200,ewt,200,2.600234270095825
Projects num: 200,improved_mt,200,2.5662074089050293
Projects num: 200,old_mt,200,2.605461835861206
Projects num: 200,ewtc,200,2.522825241088867
Projects num: 200,improved_mtc,200,2.7948949337005615
Projects num: 200,old_mtc,200,2.6707074642181396
Projects num: 300,ewt,200,6.318008899688721
Projects num: 300,improved_mt,200,18.716452598571777
Projects num: 300,old_mt,200,34.5707573890686
Projects num: 300,ewtc,200,6.348017454147339
Projects num: 300,improved_mtc,200,17.62028193473816
Projects num: 300,old_mtc,200,27.759554147720337
Projects num: 400,ewt,200,8.75814700126648
Projects num: 400,improved_mt,200,39.54407787322998
Projects num: 400,old_mt,200,64.7686219215393
Projects num: 400,ewtc,200,11.127699136734009
Projects num: 400,improved_mtc,200,40.09444761276245
Projects num: 400,old_mtc,200,58.718703746795654
