inputs,combination,time_taken
100,ewt,0.2429995536804199
100,improved_mt,1.009809494018555
100,old_mt,1.7423601150512695
100,ewtc,0.2430634498596191
100,improved_mtc,1.0394649505615234
100,old_mtc,1.7603676319122314
200,ewt,1.987055778503418
200,improved_mt,6.019116640090942
200,old_mt,12.87358546257019
200,ewtc,2.0071325302124023
200,improved_mtc,5.948825120925903
200,old_mtc,12.877134323120115
300,ewt,9.474619388580322
300,improved_mt,31.0303955078125
300,old_mt,47.4177885055542
300,ewtc,9.889520168304443
300,improved_mtc,29.6429181098938
300,old_mtc,51.33933115005493
400,ewt,25.41957664489746
400,improved_mt,71.72118067741394
400,old_mt,124.27377271652222
400,ewtc,30.06834101676941
400,improved_mtc,79.46522402763367
400,old_mtc,109.32288628339768
