selected_projects,donors,improved_mt
"{'improved_mt': [Project_8, Project_9, Project_3, Project_1, Project_5, Project_6, Project_0]}","[{'Project_0': 30, 'Project_1': 32, 'Project_2': 30, 'Project_3': 29, 'Project_4': 36, 'Project_5': 35, 'Project_6': 19, 'Project_7': 26, 'Project_8': 27, 'Project_9': 36}, {'Project_0': 35, 'Project_1': 28, 'Project_2': 32, 'Project_3': 33, 'Project_4': 26, 'Project_5': 27, 'Project_6': 32, 'Project_7': 25, 'Project_8': 31, 'Project_9': 31}, {'Project_0': 31, 'Project_1': 28, 'Project_2': 32, 'Project_3': 26, 'Project_4': 25, 'Project_5': 19, 'Project_6': 36, 'Project_7': 35, 'Project_8': 42, 'Project_9': 26}, {'Project_0': 35, 'Project_1': 28, 'Project_2': 23, 'Project_3': 36, 'Project_4': 33, 'Project_5': 22, 'Project_6': 33, 'Project_7': 30, 'Project_8': 29, 'Project_9': 31}, {'Project_0': 22, 'Project_1': 17, 'Project_2': 33, 'Project_3': 33, 'Project_4': 32, 'Project_5': 35, 'Project_6': 31, 'Project_7': 34, 'Project_8': 36, 'Project_9': 27}, {'Project_0': 39, 'Project_1': 25, 'Project_2': 34, 'Project_3': 39, 'Project_4': 20, 'Project_5': 36, 'Project_6': 32, 'Project_7': 22, 'Project_8': 29, 'Project_9': 24}, {'Project_0': 45, 'Project_1': 35, 'Project_2': 32, 'Project_3': 24, 'Project_4': 24, 'Project_5': 36, 'Project_6': 18, 'Project_7': 38, 'Project_8': 26, 'Project_9': 22}, {'Project_0': 35, 'Project_1': 36, 'Project_2': 26, 'Project_3': 22, 'Project_4': 26, 'Project_5': 29, 'Project_6': 32, 'Project_7': 31, 'Project_8': 28, 'Project_9': 35}, {'Project_0': 18, 'Project_1': 31, 'Project_2': 33, 'Project_3': 22, 'Project_4': 31, 'Project_5': 40, 'Project_6': 22, 'Project_7': 30, 'Project_8': 38, 'Project_9': 35}, {'Project_0': 31, 'Project_1': 35, 'Project_2': 32, 'Project_3': 21, 'Project_4': 26, 'Project_5': 30, 'Project_6': 32, 'Project_7': 30, 'Project_8': 26, 'Project_9': 37}]","(0.7043333333333334, 0.0, 371.2857142857143)"
"{'ewt': [Project_8, Project_9, Project_3, Project_1, Project_5, Project_6, Project_0]}","[{'Project_0': 30, 'Project_1': 32, 'Project_2': 30, 'Project_3': 29, 'Project_4': 36, 'Project_5': 35, 'Project_6': 19, 'Project_7': 26, 'Project_8': 27, 'Project_9': 36}, {'Project_0': 35, 'Project_1': 28, 'Project_2': 32, 'Project_3': 33, 'Project_4': 26, 'Project_5': 27, 'Project_6': 32, 'Project_7': 25, 'Project_8': 31, 'Project_9': 31}, {'Project_0': 31, 'Project_1': 28, 'Project_2': 32, 'Project_3': 26, 'Project_4': 25, 'Project_5': 19, 'Project_6': 36, 'Project_7': 35, 'Project_8': 42, 'Project_9': 26}, {'Project_0': 35, 'Project_1': 28, 'Project_2': 23, 'Project_3': 36, 'Project_4': 33, 'Project_5': 22, 'Project_6': 33, 'Project_7': 30, 'Project_8': 29, 'Project_9': 31}, {'Project_0': 22, 'Project_1': 17, 'Project_2': 33, 'Project_3': 33, 'Project_4': 32, 'Project_5': 35, 'Project_6': 31, 'Project_7': 34, 'Project_8': 36, 'Project_9': 27}, {'Project_0': 39, 'Project_1': 25, 'Project_2': 34, 'Project_3': 39, 'Project_4': 20, 'Project_5': 36, 'Project_6': 32, 'Project_7': 22, 'Project_8': 29, 'Project_9': 24}, {'Project_0': 45, 'Project_1': 35, 'Project_2': 32, 'Project_3': 24, 'Project_4': 24, 'Project_5': 36, 'Project_6': 18, 'Project_7': 38, 'Project_8': 26, 'Project_9': 22}, {'Project_0': 35, 'Project_1': 36, 'Project_2': 26, 'Project_3': 22, 'Project_4': 26, 'Project_5': 29, 'Project_6': 32, 'Project_7': 31, 'Project_8': 28, 'Project_9': 35}, {'Project_0': 18, 'Project_1': 31, 'Project_2': 33, 'Project_3': 22, 'Project_4': 31, 'Project_5': 40, 'Project_6': 22, 'Project_7': 30, 'Project_8': 38, 'Project_9': 35}, {'Project_0': 31, 'Project_1': 35, 'Project_2': 32, 'Project_3': 21, 'Project_4': 26, 'Project_5': 30, 'Project_6': 32, 'Project_7': 30, 'Project_8': 26, 'Project_9': 37}]",
"{'old_mt': [Project_8, Project_9, Project_3, Project_1, Project_5, Project_6, Project_0]}","[{'Project_0': 30, 'Project_1': 32, 'Project_2': 30, 'Project_3': 29, 'Project_4': 36, 'Project_5': 35, 'Project_6': 19, 'Project_7': 26, 'Project_8': 27, 'Project_9': 36}, {'Project_0': 35, 'Project_1': 28, 'Project_2': 32, 'Project_3': 33, 'Project_4': 26, 'Project_5': 27, 'Project_6': 32, 'Project_7': 25, 'Project_8': 31, 'Project_9': 31}, {'Project_0': 31, 'Project_1': 28, 'Project_2': 32, 'Project_3': 26, 'Project_4': 25, 'Project_5': 19, 'Project_6': 36, 'Project_7': 35, 'Project_8': 42, 'Project_9': 26}, {'Project_0': 35, 'Project_1': 28, 'Project_2': 23, 'Project_3': 36, 'Project_4': 33, 'Project_5': 22, 'Project_6': 33, 'Project_7': 30, 'Project_8': 29, 'Project_9': 31}, {'Project_0': 22, 'Project_1': 17, 'Project_2': 33, 'Project_3': 33, 'Project_4': 32, 'Project_5': 35, 'Project_6': 31, 'Project_7': 34, 'Project_8': 36, 'Project_9': 27}, {'Project_0': 39, 'Project_1': 25, 'Project_2': 34, 'Project_3': 39, 'Project_4': 20, 'Project_5': 36, 'Project_6': 32, 'Project_7': 22, 'Project_8': 29, 'Project_9': 24}, {'Project_0': 45, 'Project_1': 35, 'Project_2': 32, 'Project_3': 24, 'Project_4': 24, 'Project_5': 36, 'Project_6': 18, 'Project_7': 38, 'Project_8': 26, 'Project_9': 22}, {'Project_0': 35, 'Project_1': 36, 'Project_2': 26, 'Project_3': 22, 'Project_4': 26, 'Project_5': 29, 'Project_6': 32, 'Project_7': 31, 'Project_8': 28, 'Project_9': 35}, {'Project_0': 18, 'Project_1': 31, 'Project_2': 33, 'Project_3': 22, 'Project_4': 31, 'Project_5': 40, 'Project_6': 22, 'Project_7': 30, 'Project_8': 38, 'Project_9': 35}, {'Project_0': 31, 'Project_1': 35, 'Project_2': 32, 'Project_3': 21, 'Project_4': 26, 'Project_5': 30, 'Project_6': 32, 'Project_7': 30, 'Project_8': 26, 'Project_9': 37}]",
"{'ewtc': [Project_8, Project_9, Project_3, Project_1, Project_5, Project_6, Project_0]}","[{'Project_0': 30, 'Project_1': 32, 'Project_2': 30, 'Project_3': 29, 'Project_4': 36, 'Project_5': 35, 'Project_6': 19, 'Project_7': 26, 'Project_8': 27, 'Project_9': 36}, {'Project_0': 35, 'Project_1': 28, 'Project_2': 32, 'Project_3': 33, 'Project_4': 26, 'Project_5': 27, 'Project_6': 32, 'Project_7': 25, 'Project_8': 31, 'Project_9': 31}, {'Project_0': 31, 'Project_1': 28, 'Project_2': 32, 'Project_3': 26, 'Project_4': 25, 'Project_5': 19, 'Project_6': 36, 'Project_7': 35, 'Project_8': 42, 'Project_9': 26}, {'Project_0': 35, 'Project_1': 28, 'Project_2': 23, 'Project_3': 36, 'Project_4': 33, 'Project_5': 22, 'Project_6': 33, 'Project_7': 30, 'Project_8': 29, 'Project_9': 31}, {'Project_0': 22, 'Project_1': 17, 'Project_2': 33, 'Project_3': 33, 'Project_4': 32, 'Project_5': 35, 'Project_6': 31, 'Project_7': 34, 'Project_8': 36, 'Project_9': 27}, {'Project_0': 39, 'Project_1': 25, 'Project_2': 34, 'Project_3': 39, 'Project_4': 20, 'Project_5': 36, 'Project_6': 32, 'Project_7': 22, 'Project_8': 29, 'Project_9': 24}, {'Project_0': 45, 'Project_1': 35, 'Project_2': 32, 'Project_3': 24, 'Project_4': 24, 'Project_5': 36, 'Project_6': 18, 'Project_7': 38, 'Project_8': 26, 'Project_9': 22}, {'Project_0': 35, 'Project_1': 36, 'Project_2': 26, 'Project_3': 22, 'Project_4': 26, 'Project_5': 29, 'Project_6': 32, 'Project_7': 31, 'Project_8': 28, 'Project_9': 35}, {'Project_0': 18, 'Project_1': 31, 'Project_2': 33, 'Project_3': 22, 'Project_4': 31, 'Project_5': 40, 'Project_6': 22, 'Project_7': 30, 'Project_8': 38, 'Project_9': 35}, {'Project_0': 31, 'Project_1': 35, 'Project_2': 32, 'Project_3': 21, 'Project_4': 26, 'Project_5': 30, 'Project_6': 32, 'Project_7': 30, 'Project_8': 26, 'Project_9': 37}]",
"{'improved_mtc': [Project_8, Project_9, Project_3, Project_1, Project_5, Project_6, Project_0]}","[{'Project_0': 30, 'Project_1': 32, 'Project_2': 30, 'Project_3': 29, 'Project_4': 36, 'Project_5': 35, 'Project_6': 19, 'Project_7': 26, 'Project_8': 27, 'Project_9': 36}, {'Project_0': 35, 'Project_1': 28, 'Project_2': 32, 'Project_3': 33, 'Project_4': 26, 'Project_5': 27, 'Project_6': 32, 'Project_7': 25, 'Project_8': 31, 'Project_9': 31}, {'Project_0': 31, 'Project_1': 28, 'Project_2': 32, 'Project_3': 26, 'Project_4': 25, 'Project_5': 19, 'Project_6': 36, 'Project_7': 35, 'Project_8': 42, 'Project_9': 26}, {'Project_0': 35, 'Project_1': 28, 'Project_2': 23, 'Project_3': 36, 'Project_4': 33, 'Project_5': 22, 'Project_6': 33, 'Project_7': 30, 'Project_8': 29, 'Project_9': 31}, {'Project_0': 22, 'Project_1': 17, 'Project_2': 33, 'Project_3': 33, 'Project_4': 32, 'Project_5': 35, 'Project_6': 31, 'Project_7': 34, 'Project_8': 36, 'Project_9': 27}, {'Project_0': 39, 'Project_1': 25, 'Project_2': 34, 'Project_3': 39, 'Project_4': 20, 'Project_5': 36, 'Project_6': 32, 'Project_7': 22, 'Project_8': 29, 'Project_9': 24}, {'Project_0': 45, 'Project_1': 35, 'Project_2': 32, 'Project_3': 24, 'Project_4': 24, 'Project_5': 36, 'Project_6': 18, 'Project_7': 38, 'Project_8': 26, 'Project_9': 22}, {'Project_0': 35, 'Project_1': 36, 'Project_2': 26, 'Project_3': 22, 'Project_4': 26, 'Project_5': 29, 'Project_6': 32, 'Project_7': 31, 'Project_8': 28, 'Project_9': 35}, {'Project_0': 18, 'Project_1': 31, 'Project_2': 33, 'Project_3': 22, 'Project_4': 31, 'Project_5': 40, 'Project_6': 22, 'Project_7': 30, 'Project_8': 38, 'Project_9': 35}, {'Project_0': 31, 'Project_1': 35, 'Project_2': 32, 'Project_3': 21, 'Project_4': 26, 'Project_5': 30, 'Project_6': 32, 'Project_7': 30, 'Project_8': 26, 'Project_9': 37}]",
"{'old_mtc': [Project_8, Project_9, Project_3, Project_1, Project_5, Project_6, Project_0]}","[{'Project_0': 30, 'Project_1': 32, 'Project_2': 30, 'Project_3': 29, 'Project_4': 36, 'Project_5': 35, 'Project_6': 19, 'Project_7': 26, 'Project_8': 27, 'Project_9': 36}, {'Project_0': 35, 'Project_1': 28, 'Project_2': 32, 'Project_3': 33, 'Project_4': 26, 'Project_5': 27, 'Project_6': 32, 'Project_7': 25, 'Project_8': 31, 'Project_9': 31}, {'Project_0': 31, 'Project_1': 28, 'Project_2': 32, 'Project_3': 26, 'Project_4': 25, 'Project_5': 19, 'Project_6': 36, 'Project_7': 35, 'Project_8': 42, 'Project_9': 26}, {'Project_0': 35, 'Project_1': 28, 'Project_2': 23, 'Project_3': 36, 'Project_4': 33, 'Project_5': 22, 'Project_6': 33, 'Project_7': 30, 'Project_8': 29, 'Project_9': 31}, {'Project_0': 22, 'Project_1': 17, 'Project_2': 33, 'Project_3': 33, 'Project_4': 32, 'Project_5': 35, 'Project_6': 31, 'Project_7': 34, 'Project_8': 36, 'Project_9': 27}, {'Project_0': 39, 'Project_1': 25, 'Project_2': 34, 'Project_3': 39, 'Project_4': 20, 'Project_5': 36, 'Project_6': 32, 'Project_7': 22, 'Project_8': 29, 'Project_9': 24}, {'Project_0': 45, 'Project_1': 35, 'Project_2': 32, 'Project_3': 24, 'Project_4': 24, 'Project_5': 36, 'Project_6': 18, 'Project_7': 38, 'Project_8': 26, 'Project_9': 22}, {'Project_0': 35, 'Project_1': 36, 'Project_2': 26, 'Project_3': 22, 'Project_4': 26, 'Project_5': 29, 'Project_6': 32, 'Project_7': 31, 'Project_8': 28, 'Project_9': 35}, {'Project_0': 18, 'Project_1': 31, 'Project_2': 33, 'Project_3': 22, 'Project_4': 31, 'Project_5': 40, 'Project_6': 22, 'Project_7': 30, 'Project_8': 38, 'Project_9': 35}, {'Project_0': 31, 'Project_1': 35, 'Project_2': 32, 'Project_3': 21, 'Project_4': 26, 'Project_5': 30, 'Project_6': 32, 'Project_7': 30, 'Project_8': 26, 'Project_9': 37}]",
