inputs,combination,num of donors,time_taken
Projects num: 100,ewt,300,1.161954641342163
Projects num: 100,improved_mt,300,1.2281520366668701
Projects num: 100,old_mt,300,1.1698832511901855
Projects num: 100,ewtc,300,1.2361721992492676
Projects num: 100,improved_mtc,300,1.2047090530395508
Projects num: 100,old_mtc,300,1.1697895526885986
Projects num: 200,ewt,300,4.997923374176025
Projects num: 200,improved_mt,300,5.03185772895813
Projects num: 200,old_mt,300,5.052693605422974
Projects num: 200,ewtc,300,4.942668437957764
Projects num: 200,improved_mtc,300,4.830705881118774
Projects num: 200,old_mtc,300,5.022397041320801
Projects num: 300,ewt,300,12.700429677963257
Projects num: 300,improved_mt,300,12.27779507637024
Projects num: 300,old_mt,300,10.18919587135315
Projects num: 300,ewtc,300,10.403332233428955
Projects num: 300,improved_mtc,300,13.404954433441162
Projects num: 300,old_mtc,300,13.324415922164917
Projects num: 400,ewt,300,23.837133407592773
Projects num: 400,improved_mt,300,27.71345806121826
Projects num: 400,old_mt,300,23.685017347335815
Projects num: 400,ewtc,300,25.842629194259644
Projects num: 400,improved_mtc,300,24.646865844726562
Projects num: 400,old_mtc,300,24.009313583374023
