inputs,combination,num of donors,time_taken
500,ewt,150,12.588152647018433
500,improved_mt,150,48.52627921104431
500,old_mt,150,66.92945981025696
500,ewtc,150,12.823860883712769
500,improved_mtc,150,50.3388774394989
500,old_mtc,150,80.81403970718384
600,ewt,150,21.86688256263733
600,improved_mt,150,98.88816261291504
600,old_mt,150,124.26490807533264
600,ewtc,150,22.331406593322754
600,improved_mtc,150,99.34771585464478
600,old_mtc,150,128.58880162239075
700,ewt,150,29.88469648361206
700,improved_mt,150,135.71794152259827
700,old_mt,150,182.50736594200134
700,ewtc,150,28.78980565071106
700,improved_mtc,150,142.43153953552246
700,old_mtc,150,181.14166593551636
800,ewt,150,42.11547636985779
800,improved_mt,150,200.51971459388733
800,old_mt,150,230.67400860786438
800,ewtc,150,38.234015703201294
800,improved_mtc,150,187.92529821395874
800,old_mtc,150,227.0001413822174
900,ewt,150,52.48905324935913
900,improved_mt,150,304.20932030677795
900,old_mt,150,283.055730342865
900,ewtc,150,51.6701877117157
900,improved_mtc,150,240.91840863227844
900,old_mtc,150,279.86401438713074
